coef,coef_p,driver,neighbour
0.319410895554205,0.0006292324810569,A1CF,INS
-0.148988667874907,0.0361523371536568,A1CF,TNPO2
0.110594369783145,0.0241737624262935,A2ML1,ACAD9
-0.167819801174888,0.0333192647399124,A2ML1,C1orf35
0.165094641515404,0.0335916612297137,A2ML1,DYNLL2
0.173961587755952,0.0493701451952247,A2ML1,GOT1
-0.417886137951999,0.0062206406840966,A2ML1,LOXL2
-0.479341411259346,0.0006896652642741,A2ML1,NINL
-0.23830218042773,0.0330022308077122,A2ML1,PI4KAP1
0.490837575572456,0.0212217962242062,A2ML1,PPP2R2B
0.415427545748186,0.0387324767879461,A2ML1,RASSF9
0.38498209864841,0.0467256761026844,A2ML1,SCN3B
-0.184510481828321,0.0073501507712438,A2ML1,STK11
-0.117032577058948,0.0271740244807361,ABCA10,COPS5
0.203299705797496,0.0156109083090569,ABCA7,SGTB
-0.264247588793008,0.0480673286040926,ABCB1,CCR6
-0.352785905898785,0.0482584386289286,ABCB1,LGALS9B
-0.610866064076712,0.0226834835041625,ABCB1,PRKY
-0.217254137469775,0.0105205947171068,ABCB1,TAS2R19
-0.0925271305596087,0.0255175880813271,ABCB1,USP7
-0.334746203298593,0.0252330096935562,ABCC3,ESR2
0.126492305356902,0.0308825977101902,ABCC3,MLH1
-0.204439507514596,0.0315063490335136,ABCC3,RXRA
-0.378593796709356,0.007577210743204,ABCC5,RHOB
0.275737027255658,0.0381217357721089,ABCC9,ATP1A4
0.288704049338737,0.0332344001428613,ABCC9,ATP1B2
0.122534017000938,0.0330644800197664,ABCC9,ATP2A2
0.586432741809423,0.0440288458631322,ABCD1,APLNR
0.588496383721791,0.0380116766004411,ABCD1,ATP2A3
0.698305336647601,0.0099929880184583,ABCD1,BCL2
0.191125336904943,0.0348594400158457,ABCD1,RNF4
-0.706899252178388,0.0002121043150514,ABCF1,CHMP4C
0.168839779970676,0.0314590309968079,ABCF1,DAXX
-0.241951763377579,0.0207357854624915,ABCF1,FBXW7
0.730631998093896,0.0001945500295657,ABCF1,HSPA1A
0.228374563221712,0.0316883537217296,ABCF1,LRRC59
-0.736048685278605,0.0498163964730455,ABCF1,MYCN
0.186521659075314,0.0371966533201035,ABCF1,PSMD7
-0.596621394202347,0.0009877816750048,ABCF1,TP53
0.192633064973969,0.0211154673862817,ABCF2,ACAD9
-0.752636794389642,0.0334646674035297,ABCF2,CCDC8
-0.505269560779971,0.0096628465824349,ABCF2,CDC14A
0.180720170972291,0.0472878471823432,ABCF2,CDC5L
0.232352194222669,0.0122519821847003,ABCF2,INS
-0.598727097336763,0.0205150880914406,ABCF2,MECOM
0.26812767555235,0.0253251651020008,ABCF2,MSH2
0.21619361625378,0.0138938654219053,ABCF2,NCL
-0.29804748168315,0.0126955791471136,ABCF2,SIRT6
-0.666204314610316,0.0049237009646573,ABCF2,TEK
-0.22344451236664,0.0161912233091106,ABCG8,ABCB8
-0.556186951855983,0.0268726061791768,ABCG8,NR4A1
1.13609504128644,0.0039919134719017,ABHD15,KRT34
0.498369772849146,0.0050953037836576,ABI1,ACTR3
-0.679874639210248,0.0194852870753406,ABI1,CCDC57
0.513579407103462,0.0083555860414122,ABI1,CRKL
0.443246456388296,0.0308467855295608,ABI1,EIF3H
0.729935959423766,0.0386372587988035,ABI1,GRB10
0.592215767875975,0.0144864366055868,ABI1,HSD17B12
-0.702694004809911,0.0039315907920886,ABI1,IKBIP
-0.862563105147568,0.0471860115989567,ABI1,PLEKHA4
-0.643223775277266,0.0376908207991784,ABI1,VAV2
0.530758636880502,0.0024026743669855,ABI1,ZNF746
-0.421047939767073,0.0074680264172807,ABI3,IFT20
1.17628047057822,0.0467155045347402,ABI3,KIAA0408
3.01214764688435,2.02852761896363e-05,ABI3,KRT24
0.898494759610242,0.0001485544282038,ABI3,KRT28
-0.293916758084086,0.0283662526399355,ABI3,MED29
0.43620553811391,0.0069794843065532,ABI3,NCK2
0.351470768879988,0.0192934092557561,ABI3,NDEL1
0.339816265373796,0.0274965730488309,ABI3,SUFU
-0.442433080837686,0.0122348509304554,ABI3,VASP
-0.312915793685758,0.0352808949715372,ABL1,ARHGDIB
-0.536213625029896,0.0110413331467506,ABL1,DOK2
0.113584695871739,0.0399768853101629,ABL1,ERCC3
-0.527348613691923,0.0040862846779048,ABL1,FGR
-0.634345942291405,0.0112603307498671,ABL1,FOXF2
-0.35773020777246,0.0397546952226231,ABL1,GMFG
-0.487711175136385,0.0113037423117653,ABL1,HCLS1
-0.460406656418303,0.046093156367256,ABL1,SPHK1
-0.293553528935254,0.0012449342492641,ABL1,VASP
0.156984593656767,0.0468394687838988,ABL2,CALM1
-0.182037804879224,0.030266307561876,ABL2,HLCS
-0.688895826597144,0.0298383288388938,ABL2,SFN
-0.273564580475036,0.0183746165294377,ABLIM2,PTK2
-0.510565825965882,0.0199553170816342,ACAN,MMP3
-0.257119390171244,0.0260528560308779,ACD,NUDCD2
-0.255426278623454,0.0491190664685001,ACD,RFC2
-0.258984392486232,0.0340612752742688,ACD,TERF1
0.227618567052494,0.0199657920082499,ACD,TERF2
-0.221590625792536,0.0296080183854746,ACD,XRCC6
0.274215895918093,0.0353380386157796,ACE,PLK4
0.461513764496228,0.000162237176398,ACKR3,ARR3
1.62476307815235,0.0290407727970511,ACKR3,CXCL11
-0.666288629034174,0.00125930315796,ACKR3,HEXIM1
-0.843430012210364,0.0060648865401032,ACOXL,ACOX2
-0.272797403269663,0.0166012122045697,ACSL6,PCMTD2
0.390957055117312,0.0224954086654877,ACSM2A,ACSM2B
-0.147120474009165,0.0324522246078741,ACTB,AKT1
-0.204635808106316,0.0432233029349749,ACTB,ARHGAP21
0.148707733323334,0.0324184711523104,ACTB,ARL1
-0.582910569382007,0.0157001312082996,ACTB,ATF3
-0.197377915903705,0.0323119935778477,ACTB,C1orf198
0.124313915178184,0.045070189673201,ACTB,CAPZB
-0.211535052437755,0.0355985819208399,ACTB,CBX5
-0.228045647881613,0.0287102507572289,ACTB,CCDC85C
-0.142663829844238,0.0443865628808299,ACTB,CHUK
0.414085210257641,0.0313236096738771,ACTB,DPF3
-0.345896212541181,0.026996660577026,ACTB,DUSP10
0.165854414786346,0.0295671228325489,ACTB,EIF3F
0.437911409856561,0.0043708128137912,ACTB,ESR2
0.148682056010526,0.0179064259477129,ACTB,GTF2B
0.158128652883799,0.0157502456865982,ACTB,HADHB
-0.61142938444389,0.0044979627155217,ACTB,ITGA2
-0.164251639607295,0.0172736195163508,ACTB,MORF4L2
0.524012592014427,0.0264832040529162,ACTB,MYH14
0.328869543660072,0.0402064636782034,ACTB,MYO5B
-0.371205385378184,0.0479200751889308,ACTB,NCALD
-0.631894396342043,0.0249131327087798,ACTB,PCYT1B
-0.150824470626481,0.0343684823520858,ACTB,PDS5A
-0.17259678585769,0.0237672498880901,ACTB,PPP1CB
0.296392126043028,0.0091083925313103,ACTB,PTPRF
0.277886597472679,0.0189724157776775,ACTB,RAPH1
0.555479283523618,0.0380698214180618,ACTB,RIC3
-0.178620476396327,0.0345673451254429,ACTB,SHC1
-0.4432764420265,0.0060243353095415,ACTB,SIPA1L2
0.363331331611684,0.0016923718762892,ACTB,SMARCA2
-0.123269207005745,0.020447717252303,ACTB,SNW1
-0.596784712313638,0.0035442079640417,ACTB,SPTBN2
0.222075801243904,0.0286095105034482,ACTB,SSH2
0.147323130047358,0.0450219875265214,ACTB,SUCLG1
-0.190395155248423,0.0297813880456639,ACTB,TECR
-0.237546908126255,0.0132493886799563,ACTB,TMOD3
0.617184153972576,0.0363738623368593,ACTB,TMSB4Y
-0.717602905824171,0.0271963854747288,ACTB,VSNL1
-0.382093746019496,0.0228674033312037,ACTB,WASF1
-0.231332172827328,0.0082059355125773,ACTB,YWHAZ
-0.316036181216538,0.04099412553025,ACTG1,ADARB1
0.23938469748056,0.0495577900798215,ACTG1,ARHGAP12
0.827799822737415,0.010673571575956,ACTG1,COBL
-0.184201696293319,0.0180974464260499,ACTG1,DYNC1LI1
-0.262295144789357,0.0354823783573141,ACTG1,FBXO25
-0.492438234946934,0.0056769440574665,ACTG1,G6PD
-0.302348573067996,0.0464797341115973,ACTG1,GPHN
-0.173493184717329,0.048658555318401,ACTG1,HSPA4
-0.381951100892959,0.038603280927707,ACTG1,IKBKE
0.677672859380583,0.0041291997338525,ACTG1,ITGA10
0.21515497558815,0.0424586497219747,ACTG1,KDM3A
0.433394755793337,0.030399243767732,ACTG1,LGR4
-0.334482146164962,0.0208264499370068,ACTG1,LHPP
0.232226241025891,0.027236259961617,ACTG1,LRRFIP1
-0.234491717680017,0.0102606219238275,ACTG1,LRRFIP2
0.630347395583043,0.0289228762469854,ACTG1,MYOC
-0.147220263425649,0.0292861546041279,ACTG1,RHOA
-0.483060221557903,0.0215612437233633,ACTG1,SMARCD3
0.19183425224743,0.0338170266858456,ACTG1,TRAF3IP1
-0.268388876443473,0.0076646458509887,ACTL6B,ACTG1
-0.168368078689247,0.0321311819978145,ACTL6B,MAX
0.186792920397569,0.0402162546994107,ACTL6B,MLLT1
-0.760746224720229,0.0002539972983952,ACTL6B,MLLT3
-0.270997940508182,0.0476654185903685,ACTL6B,NDUFS5
-0.60529232397543,0.0189838562262918,ACTL6B,PLEKHA4
-0.231015280986647,0.0349174452048229,ACTL6B,RUVBL1
0.26881593799309,0.0433950243949705,ACVR1,ACVR2A
-0.406248847463408,0.0195639364617101,ACVR1,FBXO44
0.178580543103107,0.0351585488302612,ACVR1,FBXO7
-0.575499517691583,0.0091515603030442,ACVR1,HFE
-1.07099212904077,0.0169469972716975,ACVR1,IGSF1
-0.715644824707591,0.0284771884713164,ACVR1,INHBE
-0.468681332391325,0.040821548669009,ACVR1,MYADM
0.481074797336899,0.0426277702598366,ACVR1,RHOBTB1
-0.537637655485143,0.0491989666553153,ACVR1,RHOD
0.430167409450436,0.0015415895386659,ACVR1,STX8
-0.763484505251249,0.024123693469666,ACVR1,TFR2
0.780838636294757,0.0294489438764916,ACVR1B,HEPACAM2
0.309176770390659,0.0437816932205858,ACVR1B,MAPK8
0.657960572844338,0.0108000340183822,ACVR1B,SMAD9
-0.178838316746109,0.0462184950738076,ACVR2A,ACVR1
0.3357390418977,0.0208292994689094,ACVR2A,AKAP7
0.126753063046235,0.0111332833580502,ACVR2A,BMP10
0.669221955634876,0.0220070442691484,ACVR2A,BMP3
0.294858339105372,0.0015722333928486,ACVR2A,GDF2
0.653165063849165,0.028605898077249,ACVR2A,HEPACAM2
-0.41733023644148,0.0355278205518467,ACVR2A,NRSN1
0.173067685669297,0.026422720356365,ACVR2A,SYNJ2BP
0.428598724468699,0.003899555875143,ACVR2B,CANX
0.380932090538004,0.0146515504203156,ACVR2B,RNF149
1.04155205808535,0.0317198335358827,ACVR2B,ROR2
0.380579307454039,0.0022592343728753,ACVR2B,SNX2
0.300732995450465,0.0298965004668042,ACVR2B,SNX6
0.455533306805058,0.0104070886980678,ADAM10,B3GALT4
0.609567306221961,0.0121771934284786,ADAM10,CADM1
0.52849436370351,0.0412898809065293,ADAM10,EFNA2
-0.510683362865,0.0293163037027345,ADAM10,MYO7A
0.18468826704582,0.0346627483602535,ADAM10,NCSTN
0.778273871596509,0.0451937191013546,ADAM10,PTPRN
0.156431127103661,0.016081593668198,ADAM10,RELA
0.279087522965695,0.037529903949577,ADAM2,HLA-A
-0.127073580456487,0.0455126953181888,ADAM22,NXF1
0.143358910800023,0.0139425447055511,ADAM22,RAB7A
-0.099534375310193,0.0090882720613503,ADAMTS12,CALM2
-0.0902304108224868,0.0276111723093218,ADAMTS12,USF1
0.474790529438743,0.0125507615460494,ADAMTS17,GAS6
0.407177293255969,0.033117918037327,ADAMTS3,SRPX2
0.122711809103467,0.0066369727544579,ADAMTS9,RNF123
-0.950984092025996,0.0032062183695768,ADCK1,FKBP5
-1.46932020328138,0.0043541507082553,ADCK1,IL13RA2
0.339137085158064,0.0333646980016123,ADCK1,MLYCD
0.298440594677846,0.0355391774957291,ADCK1,MTX1
0.26821927915498,0.0409458375554869,ADCY1,PRKX
0.12623223811771,0.0426295854508341,ADCY2,GNAS
0.163313858806672,0.0484173011396954,ADCY2,NR3C1
-0.284647809197059,0.0040868156154211,ADCY2,PRKX
0.541509224929944,0.0462223603540515,ADCY3,ADCY1
-0.398677101479213,0.0389609753566717,ADCY3,CAV1
-0.245239196836943,0.035404661006083,ADCY3,DCST1
0.227383052383254,0.0145101964387349,ADCY3,GNAS
0.390876845278802,0.0374845169707031,ADCY3,LHFPL1
-0.322003446213612,0.0156961068275135,ADCY3,LYN
0.434352050561519,0.0043222834271367,ADCY5,ADORA2A
-0.424568783775556,0.0342731320207942,ADCY5,EDN1
-0.360043189338728,0.0228233028306148,ADCY5,GNAI1
-0.124504700959752,0.0469592008899335,ADCY5,GNAI3
-0.443395158870593,0.0471748669339484,ADCY5,GNAL
-0.550161280968293,0.0317787436000452,ADCY5,GNAO1
-0.124381847446263,0.0302297684625414,ADCY5,GNB1
-0.287797714787598,0.010107680900539,ADCY5,GNG12
0.232015956752775,0.0020562506239005,ADCY5,GNG8
0.244538623437295,0.0027436186925983,ADCY5,MAPK7
0.194403265543688,0.0499305972148467,ADCY5,PRKCD
0.319029418369762,0.0313799659935043,ADCY5,PRKX
0.160342358727062,0.0063230222357226,ADCY8,KRAS
0.249244903452395,0.0357464737225029,ADD2,HRAS
-0.150058554365942,0.0283916783707511,ADD2,PRKACA
0.189287076383871,0.0248457804315472,ADD2,RHOG
0.291744362697175,0.011749074146413,ADD3,DNAJC5
0.166121865324793,0.0440734584225428,ADD3,GSK3A
0.47787839178581,0.0231505105235265,ADIPOQ,FOXO1
0.670864268854841,0.0022184303599116,ADIPOQ,NR3C1
0.871849085650443,0.0104123839608363,ADIPOQ,RETN
0.310968520796608,0.0115433752204481,ADNP,HDAC11
-0.401172519454655,0.0427020714678277,ADNP,PCDHB15
0.164894026425411,0.0462179331423398,ADNP,PCGF6
-0.22061858592714,0.0270599298790711,ADNP,TRIM25
-0.386042312989071,0.0299161663065468,ADRA1A,GNB4
-0.389479310888159,0.0293831132151713,ADRA1A,GNG2
-0.13791490825419,0.0445582879697064,ADRA1A,TBC1D20
-0.420261033025597,0.0137980704132622,ADRA1A,VIM
-0.283419752218428,0.0445356129795675,ADRA1B,ARNT
-1.19017759292326,0.0447595584208522,ADRB3,ADCYAP1
-1.29630765487557,0.0328778220370088,ADRB3,PNMT
0.256022589312115,0.0373652039167428,AFF2,CCNT1
0.110350518109056,0.0284771922510361,AFF3,SPPL3
0.593947029747857,0.0226531517409087,AFF4,CCDC8
0.210937657518306,0.014441515010659,AFF4,HEXIM1
0.353801035137776,0.0313397363916648,AFF4,PLCD3
-0.129408512007356,0.0349764275529768,AFF4,USP7
0.789910558159403,0.0017400678851026,AFM,ACTA2
0.712964872865985,0.0045787683926645,AFM,GBP1
0.677493845954097,0.0008672408452963,AFM,TNFAIP3
0.440465667007115,0.0222016486149813,AGBL2,TP53
0.342389033087555,0.0413873473751352,AGBL5,GFOD1
0.421089975857926,0.0405420260438031,AGBL5,HAVCR2
-0.19080764291969,0.0313682831653225,AGBL5,PCGF3
0.233551494568787,0.0100620027483396,AGGF1,ATG7
-0.276806893893405,0.0011638735905142,AGGF1,DHX15
1.07933067829218,7.2041828332043e-07,AGGF1,FAM9C
-0.419159182342,0.011097162449165,AGGF1,MDM2
-0.783320344639794,0.0180302579391398,AGGF1,MST1R
-0.500368527927374,0.0248653060755253,AGGF1,PARD6B
-0.649102915818759,3.10530074392405e-05,AGGF1,SRC
-0.384723292258211,0.0400022994602961,AGGF1,TP53
-0.2979290453073,0.0314276169600459,AGGF1,YEATS4
-0.400173523293936,0.0049728394758258,AGO4,HSP90AB4P
-0.220987007627527,0.0364814988510135,AGO4,PTS
-0.149276300727812,0.0468229299320141,AGO4,RPP30
-0.151266613328025,0.0262112483617097,AHCTF1,CDC34
-0.197190224350758,0.0085966227413842,AHCTF1,DTX2
-0.177607395041098,0.0046659687236742,AHCTF1,MOV10
0.130541873700466,0.0088326584985947,AHCTF1,NUP50
-0.108862677634717,0.0374952757020287,AHCTF1,POM121
-0.141813664785166,0.0126627001402972,AHCTF1,PPP1CA
0.176176424698951,0.0025014881455883,AHCTF1,RANBP2
